"시점","국가별",데이터
"2022","오만",20005
"2022","파키스탄",1652
"2022","필리핀",3565
"2022","사우디아라비아",30826
"2022","싱가포르",64684
"2022","스리랑카",3795
"2022","타지키스탄",1196
"2022","아랍에미리트",49545
"2022","베트남",3425
"2022","북아메리카",
"2022","버뮤다",112428
"2022","캐나다",47297
"2022","멕시코",9740
"2022","미국",64628
"2022","남아메리카",
"2022","아르헨티나",13224
"2022","바하마",28571
"2022","벨리즈",5976
"2022","볼리비아",3171
"2022","브라질",8836
"2022","칠레",14243
"2022","콜롬비아",6917
"2022","코스타리카",12335
"2022","도미니카공화국",8188
"2022","에콰도르",6078
"2022","엘살바도르",3883
"2022","과테말라",4216
"2022","아이티",1332
"2022","온두라스",2241
"2022","니카라과",1896
"2022","파나마",14929
"2022","파라과이",6100
"2022","페루",6400
"2022","우루과이",17624
"2022","유럽",
"2022","알바니아",5221
"2022","오스트리아",45433
"2022","벨라루스",6452
"2022","벨기에",43471
"2022","보스니아-헤르체고비나",6193
"2022","불가리아",9648
"2022","크로아티아",16008
"2022","체코",19354
"2022","덴마크",64323
"2022","에스토니아",20711
"2022","핀란드",46584
"2022","프랑스",39429
"2022","독일",45048
"2022","그리스",19850
"2022","헝가리",15034
"2022","아일랜드",64718
"2022","맨섬",75453
"2022","이탈리아",33119
"2022","코소보",4461
"2022","라트비아",16586
"2022","리투아니아",16464
"2022","룩셈부르크",70764
"2022","북마케도니아",6272
"2022","몰타",28414
"2022","몰도바",3767
"2022","네덜란드",50222
"2022","노르웨이",104871
"2022","폴란드",16469
"2022","포르투갈",21393
"2022","루마니아",12809
"2022","러시아",10660
"2022","슬로바키아",17153
"2022","슬로베니아",23996
"2022","스페인",27674
"2022","스웨덴",56366
"2022","스위스",86336
"2022","우크라이나",2474
"2022","영국",47338
"2022","몬테네그로",8305
"2022","세르비아",7415
"2022","아프리카",
"2022","알제리",5111
"2022","앙골라",2782
"2022","베냉",1206
"2022","보츠와나",7611
"2022","부르키나파소",757
"2022","부룬디",263
"2022","카메룬",1465
"2022","카보베르데",4084
"2022","중앙아프리카공화국",507
"2022","차드",1086
"2022","코모로",1448
"2022","콩고",1774
"2022","콩고민주공화국",651
"2022","코트디부아르",2083
"2022","지부티",2974
"2022","이집트",3832
"2022","적도기니",4501
"2022","가봉",10423
"2022","감비아",693
"2022","가나",2166
"2022","기니",942
"2022","기니비사우",736
"2022","케냐",1758
"2022","레소토",1179
"2022","리비아",8173
"2022","마다가스카르",428
"2022","말리",927
"2022","모리타니",1845
"2022","모로코",3172
"2022","모잠비크",580
"2022","나미비아",4119
"2022","니제르",599
"2022","르완다",901
"2022","세네갈",1399
"2022","세이셸",15379
"2022","시에라리온",1095
"2022","소말리아",467
"2022","남아프리카공화국",5893
"2022","에스와티니",3125
"2022","탄자니아",1069
"2022","토고",834
"2022","튀니지",3655
"2022","우간다",903
"2022","짐바브웨",1209
"2022","오세아니아",
"2022","오스트레일리아",63090
"2022","키리바시",2985
"2022","마셜제도",6293
"2022","뉴질랜드",41868
"2022","팔라우",12158
"2022","사모아",3642
"2022","솔로몬제도",2086
"2022","통가",5162
"2022","바누아투",3227
"2023","아시아",
"2023","대한민국",32740
"2023","아르메니아",5106
"2023","바레인",26402
"2023","방글라데시",1997
"2023","부탄",3051
"2023","브루나이",31364
"2023","캄보디아",2163
"2023","키프로스",29194
"2023","동티모르",1513
"2023","조지아",5774
"2023","홍콩",47397
"2023","인도",2290
"2023","인도네시아",4043
"2023","이란",5085
"2023","이라크",5802
"2023","이스라엘",42039
"2023","일본",38330
"2023","카자흐스탄",11307
"2023","키르기스스탄",1639
"2023","레바논",4700
"2023","마카오",57877
"2023","말레이시아",11141
"2023","몰디브",7165
"2023","몽골",5609
"2023","네팔",1188
"2023","오만",18620
"2023","파키스탄",1687
"2023","필리핀",3943
"2023","사우디아라비아",28155
"2023","싱가포르",59559
"2023","스리랑카",3731
"2023","타지키스탄",1079
"2023","아랍에미리트",50054
"2023","베트남",3659
"2023","북아메리카",
"2023","버뮤다",114648
"2023","캐나다",45539
"2023","멕시코",10563
"2023","미국",65805
"2023","남아메리카",
"2023","아르헨티나",12934
"2023","바하마",30883
"2023","벨리즈",5940
"2023","볼리비아",3185
"2023","브라질",9121
"2023","칠레",14543
"2023","콜롬비아",6944
"2023","코스타리카",13008
"2023","도미니카공화국",8490
"2023","에콰도르",6110
"2023","엘살바도르",4053
"2023","과테말라",4436
"2023","아이티",1322
"2023","온두라스",2300
"2023","니카라과",2136
"2023","파나마",16074
"2023","파라과이",6243
"2023","페루",6514
"2023","우루과이",18077
"2023","유럽",
"2023","알바니아",5601
"2023","오스트리아",44262
"2023","벨라루스",6513
"2023","벨기에",44141
"2023","보스니아-헤르체고비나",6507
"2023","불가리아",9884
"2023","크로아티아",16974
"2023","체코",19847
"2023","덴마크",60876
"2023","에스토니아",19656
"2023","핀란드",45153
"2023","프랑스",39365
"2023","독일",45460
"2023","그리스",20823
"2023","헝가리",15590
"2023","아일랜드",65373
"2023","이탈리아",33749
"2023","코소보",4955
"2023","라트비아",17325
"2023","리투아니아",17157
"2023","룩셈부르크",73702
"2023","북마케도니아",6455
"2023","몰타",29143
"2023","몰도바",3939
"2023","네덜란드",50828
"2023","폴란드",16787
"2023","포르투갈",22034
"2023","루마니아",13275
"2023","슬로바키아",17741
"2023","슬로베니아",25204
"2023","스페인",28435
"2023","스웨덴",56008
"2023","스위스",84388
"2023","우크라이나",2807
"2023","영국",46609
"2023","몬테네그로",8947
"2023","세르비아",7939
"2023","아프리카",
"2023","알제리",5016
"2023","앙골라",2545
"2023","베냉",1241
"2023","보츠와나",7504
"2023","부르키나파소",755
"2023","부룬디",264
"2023","카메룬",1465
"2023","카보베르데",4371
"2023","중앙아프리카공화국",507
"2023","차드",1041
"2023","코모로",1476
"2023","콩고",1650
"2023","콩고민주공화국",1050
"2023","코트디부아르",2184
"2023","지부티",3169
"2023","이집트",3866
"2023","적도기니",4290
"2023","가봉",9507
"2023","감비아",731
"2023","가나",2051
"2023","기니",937
"2023","기니비사우",759
"2023","케냐",1812
"2023","레소토",1182
"2023","리비아",6940
"2023","마다가스카르",429
"2023","말리",940
"2023","모리타니",1989
"2023","모로코",3341
"2023","모잠비크",588
"2023","나미비아",4253
"2023","니제르",629
"2023","르완다",950
"2023","세네갈",1433
"2023","세이셸",15990
"2023","시에라리온",1128
"2023","소말리아",484
"2023","남아프리카공화국",5816
"2023","에스와티니",3320
"2023","탄자니아",1088
"2023","토고",871
"2023","튀니지",3865
"2023","우간다",912
"2023","짐바브웨",1258
"2023","오세아니아",
"2023","오스트레일리아",63337
"2023","마셜제도",6632
"2023","뉴질랜드",40808
"2023","사모아",4049
"2023","통가",5137
"2024","아시아",
"2024","아르메니아",5119
"2024","방글라데시",2063
"2024","브루나이",31823
"2024","캄보디아",2186
"2024","키프로스",29300
"2024","조지아",6605
"2024","홍콩",49831
"2024","인도",2364
"2024","인도네시아",4205
"2024","이라크",5575
"2024","이스라엘",42262
"2024","말레이시아",11528
"2024","몽골",5774
"2024","네팔",1238
"2024","파키스탄",1728
"2024","필리핀",4206
"2024","사우디아라비아",26483
"2024","싱가포르",61988
"2024","스리랑카",4024
"2024","북아메리카",
"2024","버뮤다",121176
"2024","캐나다",44850
"2024","멕시코",10585
"2024","미국",66880
"2024","남아메리카",
"2024","아르헨티나",12244
"2024","브라질",9353
"2024","칠레",14975
"2024","콜롬비아",7048
"2024","코스타리카",13505
"2024","도미니카공화국",8743
"2024","에콰도르",6107
"2024","엘살바도르",4113
"2024","과테말라",4614
"2024","아이티",1273
"2024","온두라스",2397
"2024","니카라과",2260
"2024","파라과이",6344
"2024","페루",6825
"2024","우루과이",18549
"2024","유럽",
"2024","벨라루스",6820
"2024","보스니아-헤르체고비나",6744
"2024","불가리아",10136
"2024","크로아티아",17914
"2024","덴마크",62962
"2024","독일",45790
"2024","이탈리아",34141
"2024","코소보",5745
"2024","북마케도니아",6832
"2024","몰타",29540
"2024","몰도바",4209
"2024","폴란드",17329
"2024","포르투갈",22699
"2024","루마니아",13691
"2024","슬로바키아",18169
"2024","스웨덴",56419
"2024","우크라이나",2885
"2024","몬테네그로",9128
"2024","세르비아",8307
"2024","아프리카",
"2024","앙골라",2537
"2024","베냉",1306
"2024","부르키나파소",825
"2024","카메룬",1458
"2024","카보베르데",4747
"2024","중앙아프리카공화국",498
"2024","차드",1012
"2024","코모로",1498
"2024","콩고민주공화국",1143
"2024","코트디부아르",2368
"2024","지부티",3247
"2024","이집트",3823
"2024","적도기니",4137
"2024","가봉",9525
"2024","감비아",712
"2024","가나",2235
"2024","기니",1018
"2024","기니비사우",779
"2024","케냐",1864
"2024","리비아",7214
"2024","마다가스카르",430
"2024","말리",967
"2024","모로코",3466
"2024","모잠비크",590
"2024","나미비아",4397
"2024","니제르",691
"2024","르완다",1060
"2024","세네갈",1472
"2024","세이셸",16218
"2024","시에라리온",1073
"2024","소말리아",495
"2024","남아프리카공화국",5752
"2024","탄자니아",1121
"2024","토고",895
"2024","튀니지",3893
"2024","우간다",921
"2024","짐바브웨",1261
"2024","오세아니아",
"2024","오스트레일리아",62511
"2024","사모아",4518
